//ProID	Prior	InTms	ProSt	RunTms	InstNum	Inst_ID	Inst_St	Inst_Tm	Inst_Ty	PSW
0	2	994	0	0	11	0	1	500	4	-1
0	2	994	0	0	11	1	1	500	5	-1
0	2	994	0	0	11	2	1	500	4	-1
0	2	994	0	0	11	3	1	500	5	-1
0	2	994	0	0	11	4	0	300	1	-1
0	2	994	0	0	11	5	1	500	5	-1
0	2	994	0	0	11	6	0	200	2	-1
0	2	994	0	0	11	7	0	400	2	-1
0	2	994	0	0	11	8	0	400	0	-1
0	2	994	0	0	11	9	1	500	4	-1
0	2	994	0	0	11	10	0	300	0	-1
###
1	3	1948	0	0	12	0	1	500	4	-1
1	3	1948	0	0	12	1	1	500	4	-1
1	3	1948	0	0	12	2	1	500	4	-1
1	3	1948	0	0	12	3	0	200	1	-1
1	3	1948	0	0	12	4	0	400	2	-1
1	3	1948	0	0	12	5	0	300	0	-1
1	3	1948	0	0	12	6	1	500	4	-1
1	3	1948	0	0	12	7	0	400	2	-1
1	3	1948	0	0	12	8	0	400	1	-1
1	3	1948	0	0	12	9	1	500	4	-1
1	3	1948	0	0	12	10	0	200	0	-1
1	3	1948	0	0	12	11	0	200	1	-1
###
2	1	2425	0	0	20	0	1	500	5	-1
2	1	2425	0	0	20	1	0	200	1	-1
2	1	2425	0	0	20	2	0	100	0	-1
2	1	2425	0	0	20	3	0	100	0	-1
2	1	2425	0	0	20	4	0	100	2	-1
2	1	2425	0	0	20	5	0	400	1	-1
2	1	2425	0	0	20	6	0	200	2	-1
2	1	2425	0	0	20	7	0	100	2	-1
2	1	2425	0	0	20	8	1	500	5	-1
2	1	2425	0	0	20	9	1	500	4	-1
2	1	2425	0	0	20	10	1	500	4	-1
2	1	2425	0	0	20	11	1	500	5	-1
2	1	2425	0	0	20	12	0	300	0	-1
2	1	2425	0	0	20	13	0	200	1	-1
2	1	2425	0	0	20	14	0	300	2	-1
2	1	2425	0	0	20	15	1	500	5	-1
2	1	2425	0	0	20	16	1	500	4	-1
2	1	2425	0	0	20	17	1	500	5	-1
2	1	2425	0	0	20	18	0	200	2	-1
2	1	2425	0	0	20	19	0	300	1	-1
###
3	2	3154	0	0	5	0	1	500	4	-1
3	2	3154	0	0	5	1	1	500	4	-1
3	2	3154	0	0	5	2	1	500	4	-1
3	2	3154	0	0	5	3	0	300	2	-1
3	2	3154	0	0	5	4	0	300	0	-1
###
4	3	4289	0	0	7	0	1	500	4	-1
4	3	4289	0	0	7	1	1	500	4	-1
4	3	4289	0	0	7	2	1	500	5	-1
4	3	4289	0	0	7	3	1	500	5	-1
4	3	4289	0	0	7	4	1	500	4	-1
4	3	4289	0	0	7	5	0	200	2	-1
4	3	4289	0	0	7	6	0	300	1	-1
###
5	1	5495	0	0	16	0	1	500	5	-1
5	1	5495	0	0	16	1	0	100	0	-1
5	1	5495	0	0	16	2	1	500	5	-1
5	1	5495	0	0	16	3	0	200	1	-1
5	1	5495	0	0	16	4	1	500	4	-1
5	1	5495	0	0	16	5	0	300	0	-1
5	1	5495	0	0	16	6	0	300	1	-1
5	1	5495	0	0	16	7	1	500	4	-1
5	1	5495	0	0	16	8	0	100	1	-1
5	1	5495	0	0	16	9	1	500	4	-1
5	1	5495	0	0	16	10	1	500	5	-1
5	1	5495	0	0	16	11	1	500	5	-1
5	1	5495	0	0	16	12	0	400	1	-1
5	1	5495	0	0	16	13	0	200	0	-1
5	1	5495	0	0	16	14	1	500	4	-1
5	1	5495	0	0	16	15	1	500	5	-1
###
6	1	6243	0	0	8	0	0	400	0	-1
6	1	6243	0	0	8	1	0	200	2	-1
6	1	6243	0	0	8	2	1	500	4	-1
6	1	6243	0	0	8	3	0	200	2	-1
6	1	6243	0	0	8	4	0	300	1	-1
6	1	6243	0	0	8	5	0	200	1	-1
6	1	6243	0	0	8	6	0	100	0	-1
6	1	6243	0	0	8	7	0	400	1	-1
###
7	2	7224	0	0	16	0	0	300	0	-1
7	2	7224	0	0	16	1	1	500	4	-1
7	2	7224	0	0	16	2	0	400	2	-1
7	2	7224	0	0	16	3	0	100	0	-1
7	2	7224	0	0	16	4	0	200	2	-1
7	2	7224	0	0	16	5	1	500	5	-1
7	2	7224	0	0	16	6	1	500	4	-1
7	2	7224	0	0	16	7	1	500	4	-1
7	2	7224	0	0	16	8	1	500	4	-1
7	2	7224	0	0	16	9	1	500	4	-1
7	2	7224	0	0	16	10	1	500	5	-1
7	2	7224	0	0	16	11	1	500	4	-1
7	2	7224	0	0	16	12	0	300	2	-1
7	2	7224	0	0	16	13	0	100	2	-1
7	2	7224	0	0	16	14	1	500	5	-1
7	2	7224	0	0	16	15	0	100	0	-1
###
8	2	8720	0	0	17	0	0	400	2	-1
8	2	8720	0	0	17	1	0	400	2	-1
8	2	8720	0	0	17	2	0	100	0	-1
8	2	8720	0	0	17	3	0	100	1	-1
8	2	8720	0	0	17	4	1	500	4	-1
8	2	8720	0	0	17	5	0	200	2	-1
8	2	8720	0	0	17	6	1	500	5	-1
8	2	8720	0	0	17	7	0	100	0	-1
8	2	8720	0	0	17	8	1	500	5	-1
8	2	8720	0	0	17	9	1	500	5	-1
8	2	8720	0	0	17	10	1	500	4	-1
8	2	8720	0	0	17	11	0	100	1	-1
8	2	8720	0	0	17	12	0	400	1	-1
8	2	8720	0	0	17	13	1	500	5	-1
8	2	8720	0	0	17	14	0	300	2	-1
8	2	8720	0	0	17	15	1	500	5	-1
8	2	8720	0	0	17	16	1	500	5	-1
###
9	2	9701	0	0	9	0	0	200	2	-1
9	2	9701	0	0	9	1	0	100	2	-1
9	2	9701	0	0	9	2	0	100	2	-1
9	2	9701	0	0	9	3	1	500	5	-1
9	2	9701	0	0	9	4	1	500	5	-1
9	2	9701	0	0	9	5	0	400	1	-1
9	2	9701	0	0	9	6	1	500	4	-1
9	2	9701	0	0	9	7	0	400	2	-1
9	2	9701	0	0	9	8	1	500	4	-1
###
